sa4_code,sa4_name,state,sa3_code,sa3_name,service_count,fee_per_hr,prc_growth_since_last_yr,number_of_services_above_cap,prc_services_above_the_cap,year
101,Capital Region,NSW,10102,Queanbeyan,17,12.14,5.67201545862112,10,58.8235294117647,2022
101,Capital Region,NSW,10103,Snowy Mountains,8,9.52,5.86925965523521,0,0,2022
101,Capital Region,NSW,10104,South Coast,22,10.48,5.5191096576134004,1,4.54545454545455,2022
101,Capital Region,NSW,10105,"Goulburn -
Mulwaree",14,9.85,1.79934659418942,1,7.14285714285714,2022
101,Capital Region,NSW,10106,Young - Yass,13,10.62,5.87203904404361,0,0,2022
102,Central Coast,NSW,10201,Gosford,71,10.82,5.82208789192332,4,5.63380281690141,2022
102,Central Coast,NSW,10202,Wyong,59,10.63,4.90244819630532,0,0,2022
103,Central West,NSW,10301,Bathurst,17,11.27,5.14071789638373,2,11.7647058823529,2022
103,Central West,NSW,10302,Lachlan Valley,21,10.09,7.8900291634861,0,0,2022
103,Central West,NSW,10303,Lithgow - Mudgee,14,10.07,4.15868141524695,1,7.14285714285714,2022
103,Central West,NSW,10304,Orange,21,11.02,6.6328491212845,0,0,2022
104,"Coffs Harbour -
Grafton",NSW,10401,Clarence Valley,12,10.48,4.13886650706333,2,16.6666666666667,2022
104,"Coffs Harbour -
Grafton",NSW,10402,Coffs Harbour,43,10.5,5.34006655228834,1,2.32558139534884,2022
105,"Far West and
Orana",NSW,10501,"Bourke - Cobar -
Coonamble",11,9.27,-0.7582038198215,0,0,2022
105,"Far West and
Orana",NSW,10502,"Broken Hill and
Far West",<5,NA,0,0,0,2022
105,"Far West and
Orana",NSW,10503,Dubbo,23,10.09,4.57785572625752,0,0,2022
106,"Hunter Valley
exc Newcastle",NSW,10601,Lower Hunter,27,10.32,4.72720959107225,2,7.40740740740741,2022
106,"Hunter Valley
exc Newcastle",NSW,10602,Maitland,42,10.74,5.49993071038402,3,7.14285714285714,2022
106,"Hunter Valley
exc Newcastle",NSW,10603,Port Stephens,26,10.79,4.13342489844542,2,7.69230769230769,2022
106,"Hunter Valley
exc Newcastle",NSW,10604,Upper Hunter,6,10.07,6.57496993019573,0,0,2022
107,Illawarra,NSW,10701,"Dapto - Port
Kembla",32,10.63,3.71087586619161,2,6.25,2022
107,Illawarra,NSW,10703,"Kiama -
Shellharbour",51,11.28,5.18023431535578,8,15.6862745098039,2022
107,Illawarra,NSW,10704,Wollongong,60,11.12,4.10324853424411,7,11.6666666666667,2022
108,Mid North Coast,NSW,10801,Great Lakes,14,10.14,5.78224654252585,2,14.2857142857143,2022
108,Mid North Coast,NSW,10802,"Kempsey -
Nambucca",10,9.24,4.03358166111699,0,0,2022
108,Mid North Coast,NSW,10804,Port Macquarie,28,10.36,5.20540658996178,0,0,2022
108,Mid North Coast,NSW,10805,"Taree -
Gloucester",22,9.87,4.93738467670839,0,0,2022
109,Murray,NSW,10901,Albury,24,10.83,5.09639757277825,3,12.5,2022
109,Murray,NSW,10902,Lower Murray,<5,NA,0,0,0,2022
109,Murray,NSW,10903,"Upper Murray
exc. Albury",11,10.88,7.20068378273772,1,9.09090909090909,2022
110,"New England
and North West",NSW,11001,Armidale,10,9.35,4.78239728237488,0,0,2022
110,"New England
and North West",NSW,11002,"Inverell -
Tenterfield",6,9.44,7.59121924532316,0,0,2022
110,"New England
and North West",NSW,11003,Moree - Narrabri,10,9.26,8.5100347326826,0,0,2022
110,"New England
and North West",NSW,11004,"Tamworth -
Gunnedah",28,10.42,3.99569143119474,2,7.14285714285714,2022
111,"Newcastle and
Lake Macquarie",NSW,11101,"Lake Macquarie -
East",47,11.2,5.91376307731144,6,12.7659574468085,2022
111,"Newcastle and
Lake Macquarie",NSW,11102,"Lake Macquarie -
West",30,10.37,5.07044886194189,1,3.33333333333333,2022
111,"Newcastle and
Lake Macquarie",NSW,11103,Newcastle,75,11.11,3.96149875790375,5,6.66666666666667,2022
112,"Richmond -
Tweed",NSW,11201,"Richmond Valley
- Coastal",27,10.77,4.92738280709177,1,3.7037037037037,2022
112,"Richmond -
Tweed",NSW,11202,"Richmond Valley
- Hinterland",16,10.29,5.09207682804982,1,6.25,2022
112,"Richmond -
Tweed",NSW,11203,Tweed Valley,26,10.33,4.49762865038466,0,0,2022
113,Riverina,NSW,11301,"Griffith -
Murrumbidgee
(West)",13,10.63,4.52935209273087,1,7.69230769230769,2022
113,Riverina,NSW,11302,"Tumut -
Tumbarumba",6,10.08,8.11660980112849,0,0,2022
113,Riverina,NSW,11303,Wagga Wagga,43,10.69,6.94835816497162,2,4.65116279069768,2022
114,"Southern
Highlands and
Shoalhaven",NSW,11401,Shoalhaven,45,10.29,3.94863756517482,3,6.66666666666667,2022
114,"Southern
Highlands and
Shoalhaven",NSW,11402,"Southern
Highlands",18,10.2,5.7267430808455,1,5.55555555555556,2022
115,"Sydney -
Baulkham Hills
and Hawkesbury",NSW,11501,Baulkham Hills,73,12.15,4.39692068993874,35,47.9452054794521,2022
115,"Sydney -
Baulkham Hills
and Hawkesbury",NSW,11502,"Dural - Wisemans
Ferry",18,11.69,4.05181986550133,2,11.1111111111111,2022
115,"Sydney -
Baulkham Hills
and Hawkesbury",NSW,11503,Hawkesbury,6,10.78,4.77147756300756,0,0,2022
115,"Sydney -
Baulkham Hills
and Hawkesbury",NSW,11504,"Rouse Hill -
McGraths Hill",28,11.67,5.46692757350673,6,21.4285714285714,2022
116,"Sydney -
Blacktown",NSW,11601,Blacktown,62,10.59,4.62529220223252,5,8.06451612903226,2022
116,"Sydney -
Blacktown",NSW,11602,Blacktown - North,50,11.7,6.00002775088874,16,32,2022
116,"Sydney -
Blacktown",NSW,11603,Mount Druitt,43,10.13,4.57998218055275,0,0,2022
117,"Sydney - City
and Inner South",NSW,11701,Botany,20,11.74,3.42300231812201,4,20,2022
117,"Sydney - City
and Inner South",NSW,11702,"Marrickville -
Sydenham -
Petersham",25,12.67,2.08340124832781,16,64,2022
117,"Sydney - City
and Inner South",NSW,11703,Sydney Inner City,108,13.45,2.6851615710705,84,77.7777777777778,2022
118,"Sydney -
Eastern Suburbs",NSW,11801,"Eastern Suburbs
- North",66,15.21,4.1209213341621,61,92.4242424242424,2022
118,"Sydney -
Eastern Suburbs",NSW,11802,"Eastern Suburbs
- South",69,13.36,3.93442587810873,50,72.4637681159421,2022
119,"Sydney - Inner
South West",NSW,11901,Bankstown,103,10.92,4.85648078169643,12,11.6504854368932,2022
119,"Sydney - Inner
South West",NSW,11902,Canterbury,76,10.7,3.95193977977301,4,5.26315789473684,2022
119,"Sydney - Inner
South West",NSW,11903,Hurstville,66,11.35,2.27302874005711,14,21.2121212121212,2022
119,"Sydney - Inner
South West",NSW,11904,"Kogarah -
Rockdale",63,11.13,4.78873076973878,11,17.4603174603175,2022
120,"Sydney - Inner
West",NSW,12001,Canada Bay,40,12.92,4.02080118196952,29,72.5,2022
120,"Sydney - Inner
West",NSW,12002,Leichhardt,33,14.31,5.48710492230134,30,90.9090909090909,2022
120,"Sydney - Inner
West",NSW,12003,"Strathfield -
Burwood -
Ashfield",69,12.42,4.29731061435047,40,57.9710144927536,2022
121,"Sydney - North
Sydney and
Hornsby",NSW,12101,"Chatswood -
Lane Cove",67,13.81,2.96780440032497,55,82.089552238806,2022
121,"Sydney - North
Sydney and
Hornsby",NSW,12102,Hornsby,47,12.22,4.98525457537445,22,46.8085106382979,2022
121,"Sydney - North
Sydney and
Hornsby",NSW,12103,Ku-ring-gai,57,14.19,3.46529144514868,49,85.9649122807018,2022
121,"Sydney - North
Sydney and
Hornsby",NSW,12104,"North Sydney -
Mosman",39,15.17,3.30447693580932,38,97.4358974358975,2022
122,"Sydney -
Northern
Beaches",NSW,12201,Manly,22,14.24,0.45725515429963,21,95.4545454545455,2022
122,"Sydney -
Northern
Beaches",NSW,12202,Pittwater,20,12.8,7.11528746467101,11,55,2022
122,"Sydney -
Northern
Beaches",NSW,12203,Warringah,68,12.26,4.38023968917155,30,44.1176470588235,2022
123,"Sydney - Outer
South West",NSW,12301,Camden,38,10.54,5.70796259330295,1,2.63157894736842,2022
123,"Sydney - Outer
South West",NSW,12302,"Campbelltown
(NSW)",86,10.14,6.11657600136764,3,3.48837209302326,2022
123,"Sydney - Outer
South West",NSW,12303,Wollondilly,21,9.27,7.06985950887349,0,0,2022
124,"Sydney - Outer
West and Blue
Mountains",NSW,12401,Blue Mountains,23,10.54,3.91959475826765,2,8.69565217391305,2022
124,"Sydney - Outer
West and Blue
Mountains",NSW,12403,Penrith,83,10.64,4.79165267632091,3,3.6144578313253,2022
124,"Sydney - Outer
West and Blue
Mountains",NSW,12404,"Richmond -
Windsor",21,10.21,5.27644677954052,0,0,2022
124,"Sydney - Outer
West and Blue
Mountains",NSW,12405,St Marys,25,10.33,4.81160683348714,0,0,2022
125,"Sydney -
Parramatta",NSW,12501,Auburn,33,11.71,5.72757475986438,10,30.3030303030303,2022
125,"Sydney -
Parramatta",NSW,12502,Carlingford,29,11.84,4.68276748394146,8,27.5862068965517,2022
125,"Sydney -
Parramatta",NSW,12503,"Merrylands -
Guildford",90,10.48,4.49694306250347,3,3.33333333333333,2022
125,"Sydney -
Parramatta",NSW,12504,Parramatta,84,10.82,3.64911980277381,13,15.4761904761905,2022
126,Sydney - Ryde,NSW,12601,"Pennant Hills -
Epping",20,12.75,4.63035627623091,13,65,2022
126,Sydney - Ryde,NSW,12602,"Ryde - Hunters
Hill",69,12.96,4.43103255924498,47,68.1159420289855,2022
127,"Sydney - South
West",NSW,12701,"Bringelly - Green
Valley",62,10.5,6.11487650483457,2,3.2258064516129,2022
127,"Sydney - South
West",NSW,12702,Fairfield,74,10.43,5.66471933505623,7,9.45945945945946,2022
127,"Sydney - South
West",NSW,12703,Liverpool,64,10.18,3.75541386089544,2,3.125,2022
128,"Sydney -
Sutherland",NSW,12801,"Cronulla -
Miranda -
Caringbah",62,11.49,4.12691744542622,11,17.741935483871,2022
128,"Sydney -
Sutherland",NSW,12802,"Sutherland -
Menai -
Heathcote",63,10.67,4.24878610651875,2,3.17460317460318,2022
201,Ballarat,VIC,20101,Ballarat,35,11.12,4.00624370798544,5,14.2857142857143,2022
201,Ballarat,VIC,20102,"Creswick -
Daylesford -
Ballan",<5,NA,0,0,0,2022
201,Ballarat,VIC,20103,"Maryborough -
Pyrenees",<5,NA,0,0,0,2022
202,Bendigo,VIC,20201,Bendigo,26,11.05,5.14756263588696,1,3.84615384615385,2022
202,Bendigo,VIC,20202,"Heathcote -
Castlemaine -
Kyneton",9,11.21,5.82360059308724,2,22.2222222222222,2022
203,Geelong,VIC,20301,Barwon - West,7,10.69,3.87113972451346,0,0,2022
203,Geelong,VIC,20302,Geelong,56,11.35,5.51922013411206,6,10.7142857142857,2022
203,Geelong,VIC,20303,"Surf Coast -
Bellarine
Peninsula",28,11.28,4.90107818567717,2,7.14285714285714,2022
204,Hume,VIC,20401,"Upper Goulburn
Valley",17,10.07,8.32708371701232,1,5.88235294117647,2022
204,Hume,VIC,20402,"Wangaratta -
Benalla",14,10.61,5.29272379888203,2,14.2857142857143,2022
204,Hume,VIC,20403,Wodonga - Alpine,30,10.88,6.57954733524958,2,6.66666666666667,2022
205,"Latrobe -
Gippsland",VIC,20501,Baw Baw,10,11.39,4.97456914069592,0,0,2022
205,"Latrobe -
Gippsland",VIC,20502,Gippsland - East,13,10.55,6.35057763815561,0,0,2022
205,"Latrobe -
Gippsland",VIC,20503,"Gippsland - South
West",12,9.46,7.22694283998411,0,0,2022
205,"Latrobe -
Gippsland",VIC,20504,Latrobe Valley,17,10.39,5.47561081904617,0,0,2022
205,"Latrobe -
Gippsland",VIC,20505,Wellington,10,9.91,6.32519589274108,0,0,2022
206,"Melbourne -
Inner",VIC,20601,"Brunswick -
Coburg",33,12.07,5.31541977444671,13,39.3939393939394,2022
206,"Melbourne -
Inner",VIC,20602,Darebin - South,19,12.82,4.75862650210743,12,63.1578947368421,2022
206,"Melbourne -
Inner",VIC,20603,Essendon,22,12.24,4.9751891459773,13,59.0909090909091,2022
206,"Melbourne -
Inner",VIC,20604,Melbourne City,46,13.16,5.31181284442823,33,71.7391304347826,2022
206,"Melbourne -
Inner",VIC,20605,Port Phillip,35,13.18,4.0178675164915,27,77.1428571428572,2022
206,"Melbourne -
Inner",VIC,20606,"Stonnington -
West",14,13.61,4.8798246391272,12,85.7142857142857,2022
206,"Melbourne -
Inner",VIC,20607,Yarra,35,12.53,3.45201420518717,19,54.2857142857143,2022
207,"Melbourne -
Inner East",VIC,20701,Boroondara,50,13.11,3.60551227861223,37,74,2022
207,"Melbourne -
Inner East",VIC,20702,"Manningham -
West",27,11.77,5.881524239885,6,22.2222222222222,2022
207,"Melbourne -
Inner East",VIC,20703,"Whitehorse -
West",36,12.53,4.3766346053776,24,66.6666666666667,2022
208,"Melbourne -
Inner South",VIC,20801,Bayside,35,12.82,1.92259802509345,25,71.4285714285715,2022
208,"Melbourne -
Inner South",VIC,20802,Glen Eira,63,13,3.51925048463299,39,61.9047619047619,2022
208,"Melbourne -
Inner South",VIC,20803,Kingston,43,12.25,5.96659820246085,17,39.5348837209302,2022
208,"Melbourne -
Inner South",VIC,20804,"Stonnington -
East",11,12.92,4.15943741833774,9,81.8181818181818,2022
209,"Melbourne -
North East",VIC,20901,Banyule,37,11.72,3.87278193260798,7,18.9189189189189,2022
209,"Melbourne -
North East",VIC,20902,Darebin - North,28,11.68,4.77516464325278,3,10.7142857142857,2022
209,"Melbourne -
North East",VIC,20903,"Nillumbik -
Kinglake",23,11.39,5.63783421924448,4,17.3913043478261,2022
209,"Melbourne -
North East",VIC,20904,"Whittlesea -
Wallan",67,10.87,6.26867896743106,2,2.98507462686567,2022
210,"Melbourne -
North West",VIC,21001,Keilor,13,11.28,4.44111865268407,3,23.0769230769231,2022
210,"Melbourne -
North West",VIC,21002,Macedon Ranges,8,10.87,6.41722215073736,0,0,2022
210,"Melbourne -
North West",VIC,21003,Moreland - North,16,11.61,3.29953587596627,3,18.75,2022
210,"Melbourne -
North West",VIC,21004,Sunbury,17,10.37,6.12533681841826,0,0,2022
210,"Melbourne -
North West",VIC,21005,"Tullamarine -
Broadmeadows",55,10.97,3.38634711780857,3,5.45454545454546,2022
211,"Melbourne -
Outer East",VIC,21101,Knox,46,11.4,5.64492494549045,8,17.3913043478261,2022
211,"Melbourne -
Outer East",VIC,21102,"Manningham -
East",5,12.22,8.70885832691272,2,40,2022
211,"Melbourne -
Outer East",VIC,21103,Maroondah,43,11.15,6.21959827894278,3,6.97674418604651,2022
211,"Melbourne -
Outer East",VIC,21104,Whitehorse - East,25,11.65,4.33943042319069,3,12,2022
211,"Melbourne -
Outer East",VIC,21105,Yarra Ranges,38,11.04,6.05537032663928,5,13.1578947368421,2022
212,"Melbourne -
South East",VIC,21201,Cardinia,36,10.49,6.83438005715165,0,0,2022
212,"Melbourne -
South East",VIC,21202,Casey - North,41,10.91,5.34869994824797,2,4.87804878048781,2022
212,"Melbourne -
South East",VIC,21203,Casey - South,74,10.64,6.64917775133718,0,0,2022
212,"Melbourne -
South East",VIC,21204,Dandenong,57,11.2,6.03183629160445,8,14.0350877192982,2022
212,"Melbourne -
South East",VIC,21205,Monash,53,11.95,4.99395003057955,19,35.8490566037736,2022
213,"Melbourne -
West",VIC,21301,Brimbank,44,10.83,7.68151056486829,2,4.54545454545455,2022
213,"Melbourne -
West",VIC,21302,Hobsons Bay,27,12.12,5.4957111845692,11,40.7407407407407,2022
213,"Melbourne -
West",VIC,21303,Maribyrnong,26,12.14,4.08048478971897,12,46.1538461538462,2022
213,"Melbourne -
West",VIC,21304,"Melton - Bacchus
Marsh",58,10.65,1.72966219140476,3,5.17241379310345,2022
213,"Melbourne -
West",VIC,21305,Wyndham,97,11.36,5.42395199819459,14,14.4329896907217,2022
214,"Mornington
Peninsula",VIC,21401,Frankston,46,11.06,6.2098275128959,1,2.17391304347826,2022
214,"Mornington
Peninsula",VIC,21402,"Mornington
Peninsula",42,11.27,6.42862210439143,5,11.9047619047619,2022
215,North West,VIC,21501,Grampians,14,10.27,1.40333573718023,0,0,2022
215,North West,VIC,21502,Mildura,13,10.01,5.30881658068651,1,7.69230769230769,2022
215,North West,VIC,21503,"Murray River -
Swan Hill",10,10.6,1.21317174254795,1,10,2022
216,Shepparton,VIC,21601,Campaspe,8,10.31,1.95004319833287,1,12.5,2022
216,Shepparton,VIC,21602,Moira,10,10.1,7.44493176454565,0,0,2022
216,Shepparton,VIC,21603,Shepparton,21,10.97,4.8895213383375,2,9.52380952380953,2022
217,"Warrnambool
and South West",VIC,21701,"Glenelg -
Southern
Grampians",9,10.41,4.65315032498651,0,0,2022
217,"Warrnambool
and South West",VIC,21703,"Colac -
Corangamite",9,10.45,-2.0372419714055,1,11.1111111111111,2022
217,"Warrnambool
and South West",VIC,21704,Warrnambool,16,10.58,4.12039014490926,0,0,2022
301,Brisbane - East,QLD,30101,Capalaba,29,10.46,6.40872845363714,1,3.44827586206897,2022
301,Brisbane - East,QLD,30102,"Cleveland -
Stradbroke",29,10.25,6.05059087478565,1,3.44827586206897,2022
301,Brisbane - East,QLD,30103,Wynnum - Manly,22,10.91,6.97806152717808,0,0,2022
